Sex,Name,Coalition,Pride,Lon,Lat,You_post,Status
Male,Dark Mane,Northern Avoca,Talamati,-24.710772458126563, 31.527888425122317,https://www.youtube.com/embed/YmDW6aGXa2A,Alive
Male,Blondie,Northern Avoca,Nkuhuma,-24.79213371816779, 31.537971293441696,https://www.youtube.com/embed/YmDW6aGXa2A,Alive
Male,Mohawk,Northern Avoca,Nkuhuma,-24.79213371816779, 31.539971293441696,https://www.youtube.com/embed/YmDW6aGXa2A,Alive
Male,Red Road,no coalition,Nharu,-24.62684727329454, 31.488749631175956,https://www.youtube.com/embed/YmDW6aGXa2A,Alive
Female,Lady Tsalala,no coalition,Tsalala,-24.475019046901982,31.392624600358022,https://www.youtube.com/embed/oua4XBkB3_0,Dead
Male,Einstein Imbali,no coalition,name,-24.679580098631323, 31.561190732252115,https://www.youtube.com/embed/oua4XBkB3_0,Alive
Male,Tinyo,Birmingham Boys,name,-24.77449243524635, 31.588595240111196,https://www.youtube.com/embed/oua4XBkB3_0,Alive
Male,Nenha,Birmingham Boys,name,-24.77449243524635, 31.592595240111196,https://www.youtube.com/embed/oua4XBkB3_0,Alive
Male,Casper The White,Shishangaan Brothers,none,-24.420955219171823, 31.78620503999863,https://www.youtube.com/embed/pXurl2SV-Vc?start=23,Alive
Male,Casanova,Shishangaan Brothers,none,-24.420955219171823, 31.78920503999863,https://www.youtube.com/embed/pXurl2SV-Vc?start=23,Alive
Male,Footloose,Shishangaan Brothers,none,-24.421255219171823, 31.78720503999863,https://www.youtube.com/embed/pXurl2SV-Vc?start=23,Alive
Male,Mfowethu,Shishangaan Brothers,none,-24.421355219171823, 31.78990503999863,https://www.youtube.com/embed/pXurl2SV-Vc?start=23,Alive

